x,y,type
3,265063924.49717617,up
3,281912997.2426064,mean
3,191538312.09333563,down
8,303471793.80557823,up
8,257522163.10545933,mean
8,101282920.86041594,down
13,303591087.7219293,up
13,257641457.0218104,mean
13,95272893.35464716,down
18,403268312.46825933,up
18,208738108.95283794,mean
18,93858067.50672317,down
23,339057169.0531131,up
23,251745951.6757388,mean
23,158310184.63289857,down 
28,401972780.5366864,up
28,284029271.31867504,mean
28,201313255.5991453,down
33,497057189.5034988,up
33,265770144.48197472,mean
33,227476797.33326972,down
38,494115401.5262806,up
38,261287079.10550022,mean
38,252101447.54646504,down
43,414582147.4949983,up
43,275189592.11705804,mean
43,212393274.54983604,down
48,517329997.64820576,up
48,318199820.7182859,mean
48,258462199.16630614,down
53,561862416.6220737,up
53,253983905.54648554,mean
53,258579107.2043302,down
58,516027308.0816517,up
58,289333078.83964527,mean
58,315367783.14411056,down
63,510017280.57588303,up
63,208268090.92241466,mean
63,150057431.49972904,down
68,445803751.2824097,up
68,277313023.82810783,mean
68,298762069.98803675,down

