x,y,tuple,type
3,95315.21110468461,0,mean
3,138302.48698669745,0,up
3,95315.21110468461,0,down
8,84810.58415268922,1,mean
8,121657.50915750908,1,up
8,83280.31617505288,1,down
13,77376.13263929044,2,mean
13,322985.34798534785,2,up
13,51274.821669558405,2,down
18,96023.7131289761,3,mean
18,155896.95392326964,3,up
18,69932.04164256787,3,down
23,47137.073452862736,4,mean
23,125426.54713707328,4,up
23,28716.02082128382,4,down
28,88820.60921534598,5,mean
28,182465.7798342009,5,up
28,70399.55658376706,5,down
33,135109.40813572382,6,mean
33,211863.7941006361,6,up
33,78315.98226335061,6,down
38,153766.6281087333,7,mean
38,299599.9614420665,7,up
38,75477.15442452264,7,down
43,318262.0011567378,8,mean
43,414977.3472141892,8,up
43,132511.56737998832,8,down
48,281656.0632350105,9,mean
48,441305.1860420281,9,up
48,191081.0680547521,9,down
53,232769.42355889705,10,mean
53,426180.8367071524,10,up
53,166765.47137073433,10,down
58,360413.0518604201,11,mean
58,472474.45536919206,11,up
58,150101.2145748986,11,down
63,199455.36919221116,12,mean
63,380595.72006940417,12,up
63,128850.97358781552,12,down
68,385446.790052053,13,mean
68,621850.298823983,13,up
68,317907.750144592,13,down
