Time,V,Ap,ApM,I,ThN,ThE,TkN,TkE,B,Ps,Pl,Bm,IgM,IgG,C,NK
0,61,1e+06,0,0,1e+06,0,500000,0,250000,0,0,0,0,0,0,130000
0.1,68.7215,929501,0.711412,0.00619402,1e+06,0.350878,483715,0.815441,215409,0.0445081,0.0131033,0.0026447,0.000136558,3.43902e-07,2.95624,130397
0.2,77.2108,875227,1.39879,0.0145536,999999,1.38093,471177,3.41513,191228,0.148895,0.0926113,0.0188622,0.000943899,4.85821e-06,3.42245,131922
0.3,86.5209,836365,2.06215,0.0241786,999997,3.05608,462198,8.03343,174327,0.284194,0.282588,0.0580937,0.00279881,2.24931e-05,3.89898,134776
0.4,96.7066,810046,2.70198,0.0347973,999995,5.34311,456115,14.9209,162515,0.434651,0.614895,0.127597,0.00588769,6.58107e-05,4.38918,139113
0.5,107.824,793179,3.31825,0.0461422,999992,8.20965,452215,24.3471,154261,0.591994,1.11616,0.233785,0.0102938,0.000150169,4.89525,145048
0.6,119.931,782950,3.90974,0.0578794,999988,11.6232,449849,36.5922,148490,0.751879,1.81105,0.382855,0.0160477,0.00029331,5.41769,152644
0.7,133.088,777085,4.47379,0.069685,999984,15.5499,448491,51.9318,144453,0.91191,2.72297,0.580916,0.0231512,0.000515299,5.95505,161911
0.8,147.359,773912,5.00653,0.08127,999979,19.9531,447754,70.6187,141636,1.07071,3.87442,0.834068,0.0315886,0.000838368,6.50417,172811
0.9,162.816,772273,5.50342,0.0924204,999974,24.7928,447372,92.8639,139685,1.22706,5.28588,1.14815,0.0413329,0.00128674,7.06068,185266
1,179.534,771467,5.95979,0.102976,999968,30.025,447183,118.818,138342,1.37951,6.97522,1.5286,0.0523476,0.00188635,7.61955,199167
1.1,197.602,771083,6.37163,0.11289,999962,35.602,447092,148.558,137422,1.52655,8.95761,1.98047,0.0645845,0.00266463,8.17589,214395
1.2,217.117,770927,6.73596,0.122026,999956,41.4732,447053,182.084,136798,1.66672,11.2453,2.50827,0.0779823,0.00365017,8.72519,230813
1.3,238.191,770858,7.05153,0.131194,999949,47.5869,447035,219.323,136382,1.79867,13.8471,3.11594,0.0924674,0.0048724,9.26505,248342
1.4,260.951,770874,7.31853,0.138341,999942,53.8913,447037,260.143,136113,1.92115,16.768,3.80667,0.107955,0.00636128,9.79219,266801
1.5,285.538,770900,7.53918,0.145934,999935,60.337,447041,304.36,135950,2.03323,20.0094,4.58302,0.124352,0.00814688,10.3054,286064
1.6,312.108,770904,7.71703,0.152961,999927,66.8782,447041,351.761,135861,2.13433,23.5699,5.44688,0.141559,0.010259,10.8062,306083
1.7,340.834,770902,7.85661,0.159413,999919,73.4736,447040,402.126,135827,2.22418,27.4448,6.39954,0.159473,0.0127269,11.2955,326772
1.8,371.904,770904,7.96316,0.166014,999912,80.0875,447039,455.24,135834,2.3029,31.6271,7.44177,0.177993,0.0155791,11.7756,348063
1.9,405.517,770905,8.04233,0.172482,999904,86.69,447039,510.903,135871,2.37093,36.1077,8.57386,0.19702,0.0188432,12.2475,369838
2,441.889,770905,8.09961,0.178785,999896,93.2573,447039,568.953,135933,2.42898,40.8762,9.79577,0.216459,0.0225454,12.718,392257
2.1,481.249,770905,8.14004,0.185502,999888,99.7709,447038,629.26,136015,2.47797,45.9211,11.1072,0.236227,0.0267109,13.1878,415194
2.2,523.837,770905,8.16803,0.191904,999880,106.218,447038,691.73,136114,2.51895,51.2301,12.5075,0.256245,0.0313633,13.66,438664
2.3,569.909,770904,8.1872,0.198906,999872,112.588,447038,756.301,136229,2.553,56.7909,13.996,0.276448,0.036525,14.1364,462642
2.4,619.73,770904,8.20036,0.206238,999864,118.876,447038,822.936,136359,2.5812,62.5911,15.5721,0.29678,0.0422169,14.6195,487162
2.5,673.582,770904,8.20956,0.213933,999855,125.078,447038,891.627,136504,2.60455,68.6184,17.2347,0.317192,0.0484585,15.111,512250
2.6,731.761,770904,8.21624,0.221929,999847,131.192,447038,962.381,136663,2.62397,74.8608,18.9832,0.337647,0.055268,15.6132,537968
2.7,794.578,770904,8.22133,0.230559,999839,137.218,447038,1035.22,136837,2.64024,81.3071,20.8166,0.358113,0.0626623,16.1247,564225
2.8,862.359,770903,8.2254,0.240134,999831,143.155,447038,1110.17,137027,2.65404,87.9464,22.7342,0.378566,0.0706572,16.6491,591179
2.9,935.449,770903,8.22881,0.249041,999823,149.005,447038,1187.28,137234,2.66592,94.7682,24.7352,0.398988,0.0792671,17.1856,618778
3,1014.21,770903,8.23176,0.259166,999815,154.768,447038,1266.58,137459,2.67634,101.763,26.8189,0.419363,0.0885054,17.7344,647028
3.1,1099.04,770903,8.23434,0.269696,999807,160.446,447038,1348.11,137702,2.6857,108.921,28.9846,0.439682,0.0983853,18.2967,675988
3.2,1190.36,770902,8.23664,0.280757,999799,166.038,447038,1431.92,137966,2.6943,116.233,31.2318,0.459936,0.108918,18.8728,705669
3.3,1288.57,770902,8.23869,0.292342,999791,171.546,447038,1518.06,138252,2.70236,123.693,33.5598,0.480121,0.120114,19.4629,736082
3.4,1394.14,770902,8.24052,0.304477,999782,176.972,447038,1606.57,138560,2.7101,131.292,35.9682,0.500233,0.131983,20.0673,767239
3.5,1507.41,770902,8.24215,0.31717,999774,182.316,447038,1697.48,138894,2.71762,139.025,38.4568,0.520272,0.144532,20.6861,799146
3.6,1628.87,770901,8.24361,0.330424,999766,187.579,447038,1790.85,139254,2.7251,146.886,41.0251,0.540236,0.15777,21.3194,831809
3.7,1759,770901,8.24489,0.344282,999758,192.763,447038,1886.72,139642,2.73265,154.87,43.673,0.560127,0.171704,21.9674,865235
3.8,1898.3,770901,8.24603,0.358723,999750,197.867,447038,1985.12,140061,2.74039,162.971,46.4003,0.579945,0.186342,22.6301,899420
3.9,2047.3,770900,8.2471,0.373748,999742,202.895,447038,2086.1,140512,2.7484,171.184,49.2069,0.599693,0.201691,23.3074,934362
4,2206.52,770900,8.24784,0.389592,999734,207.845,447038,2189.71,140998,2.75676,179.506,52.0928,0.619374,0.217756,23.9993,970071
4.1,2376.51,770899,8.2485,0.40603,999726,212.721,447038,2295.96,141522,2.76554,187.935,55.0582,0.638992,0.234544,24.7057,1.00653e+06
4.2,2557.82,770899,8.24932,0.422884,999717,217.522,447038,2404.9,142085,2.77483,196.467,58.1034,0.658551,0.252061,25.4263,1.04371e+06
4.3,2751,770899,8.24992,0.440674,999709,222.25,447038,2516.56,142691,2.78467,205.101,61.2287,0.678057,0.27031,26.1607,1.08161e+06
4.4,2956.62,770898,8.25044,0.459153,999701,226.905,447038,2630.96,143343,2.79514,213.836,64.4346,0.697515,0.289298,26.9086,1.12021e+06
4.5,3175.23,770898,8.25093,0.478231,999693,231.49,447038,2748.12,144043,2.80629,222.671,67.7217,0.71693,0.309028,27.6694,1.15947e+06
4.6,3407.39,770897,8.25116,0.498391,999685,236.004,447038,2868.06,144796,2.81819,231.608,71.0909,0.73631,0.329507,28.443,1.19941e+06
4.7,3653.68,770897,8.25131,0.519244,999677,240.45,447038,2990.78,145603,2.8309,240.647,74.5431,0.755662,0.350738,29.2287,1.23996e+06
4.8,3914.64,770896,8.25148,0.540667,999669,244.826,447038,3116.3,146470,2.84448,249.789,78.0792,0.774992,0.372728,30.0259,1.28111e+06
4.9,4190.82,770896,8.25161,0.5632,999661,249.136,447038,3244.6,147400,2.85901,259.038,81.7006,0.794309,0.39548,30.8341,1.32282e+06
5,4482.74,770895,8.2517,0.586174,999652,253.38,447038,3375.68,148397,2.87455,268.398,85.4088,0.813622,0.419001,31.6515,1.36501e+06
5.1,4790.92,770895,8.25175,0.60969,999644,257.558,447038,3509.53,149466,2.8912,277.871,89.2052,0.83294,0.443296,32.4772,1.40762e+06
5.2,5115.84,770894,8.25164,0.63532,999636,261.672,447038,3646.12,150610,2.909,287.463,93.0917,0.852272,0.468372,33.3116,1.45068e+06
5.3,5457.97,770894,8.25153,0.661047,999628,265.722,447038,3785.41,151836,2.92806,297.18,97.0702,0.871629,0.494234,34.1532,1.49411e+06
5.4,5817.74,770893,8.25137,0.687798,999620,269.71,447038,3927.38,153148,2.94846,307.028,101.143,0.891022,0.520891,35.0006,1.53784e+06
5.5,6195.52,770893,8.25114,0.715469,999612,273.637,447038,4071.96,154551,2.97028,317.016,105.313,0.910462,0.54835,35.8525,1.5818e+06
5.6,6591.67,770892,8.25084,0.74421,999604,277.503,447038,4219.09,156053,2.99362,327.152,109.582,0.929963,0.576621,36.7079,1.62593e+06
5.7,7006.49,770891,8.2505,0.773798,999596,281.309,447038,4368.71,157659,3.01859,337.446,113.954,0.949536,0.605712,37.5654,1.67017e+06
5.8,7440.2,770891,8.25011,0.804504,999587,285.056,447038,4520.74,159375,3.04528,347.908,118.431,0.969198,0.635634,38.4238,1.71445e+06
5.9,7893.01,770890,8.24967,0.836035,999579,288.745,447038,4675.09,161208,3.07382,358.551,123.018,0.988961,0.666399,39.2814,1.75869e+06
6,8365.04,770889,8.24919,0.868829,999571,292.377,447038,4831.65,163167,3.10432,369.387,127.719,1.00884,0.69802,40.1371,1.80282e+06
6.1,8856.34,770889,8.24867,0.902323,999563,295.952,447038,4990.32,165259,3.1369,380.43,132.537,1.02886,0.73051,40.989,1.84676e+06
6.2,9366.89,770888,8.2481,0.937267,999555,299.472,447038,5150.97,167492,3.17171,391.697,137.477,1.04903,0.763885,41.8361,1.89044e+06
6.3,9896.63,770887,8.24756,0.972678,999547,302.937,447038,5313.48,169875,3.20889,403.204,142.544,1.06937,0.798161,42.6749,1.93368e+06
6.4,10445.4,770886,8.24689,1.0101,999539,306.349,447038,5477.7,172418,3.24858,414.969,147.743,1.0899,0.833358,43.5073,1.9766e+06
6.5,11012.9,770886,8.24635,1.04741,999531,309.707,447038,5643.48,175131,3.29095,427.012,153.081,1.11064,0.869495,44.3298,2.01898e+06
6.6,11598.8,770885,8.24674,1.08624,999522,313.013,447038,5810.66,178025,3.33619,439.354,158.564,1.13162,0.906595,45.1411,2.06076e+06
6.7,12202.7,770884,8.24459,1.12667,999514,316.267,447038,5979.07,181111,3.38445,452.02,164.198,1.15286,0.944682,45.9386,2.10189e+06
6.8,12824.2,770883,8.24379,1.16773,999506,319.47,447038,6148.52,184402,3.4359,465.033,169.991,1.17438,0.983783,46.723,2.1423e+06
6.9,13462.5,770883,8.24305,1.20985,999498,322.623,447038,6318.83,187912,3.4908,478.423,175.95,1.19621,1.02393,47.4917,2.18189e+06
7,14116.9,770882,8.24218,1.25298,999490,325.727,447038,6489.78,191655,3.54939,492.221,182.087,1.21839,1.06515,48.2431,2.22058e+06
7.1,14786.7,770881,8.24131,1.29715,999482,328.783,447038,6661.15,195647,3.61192,506.461,188.41,1.24094,1.10749,48.976,2.25832e+06
7.2,15471,770880,8.24038,1.34231,999474,331.79,447038,6832.79,199902,3.67859,521.171,194.928,1.2639,1.15099,49.6893,2.29503e+06
7.3,16168.9,770879,8.23944,1.38844,999466,334.751,447038,7004.45,204437,3.7497,536.391,201.652,1.2873,1.19567,50.382,2.33068e+06
7.4,16879.5,770878,8.23845,1.43553,999458,337.665,447038,7175.93,209271,3.82551,552.158,208.593,1.31118,1.24159,51.053,2.3652e+06
7.5,17601.7,770877,8.23746,1.48355,999449,340.533,447038,7347.07,214420,3.90629,568.507,215.763,1.33557,1.28879,51.7016,2.39856e+06
7.6,18334.6,770877,8.2365,1.53245,999441,343.356,447038,7517.63,219907,3.99236,585.483,223.173,1.36051,1.33732,52.327,2.43071e+06
7.7,19076.7,770876,8.23533,1.58222,999433,346.134,447038,7687.37,225758,4.08412,603.141,230.841,1.38605,1.38725,52.9284,2.46163e+06
7.8,19826.9,770875,8.23448,1.63277,999425,348.869,447038,7856.09,231996,4.18195,621.531,238.781,1.41224,1.43863,53.5056,2.49128e+06
7.9,20584.1,770874,8.23338,1.68409,999417,351.56,447038,8023.6,238644,4.28618,640.7,247.007,1.43912,1.49151,54.0578,2.51965e+06
8,21346.9,770873,8.23118,1.73617,999409,354.209,447038,8189.68,245731,4.39723,660.708,255.537,1.46675,1.54598,54.5844,2.54672e+06
8.1,22113.9,770872,8.23084,1.78881,999401,356.816,447038,8354.13,253295,4.5157,681.632,264.393,1.49518,1.60212,55.0869,2.57249e+06
8.2,22883.8,770871,8.23019,1.84205,999393,359.382,447038,8516.75,261366,4.64206,703.535,273.594,1.52449,1.66001,55.5641,2.59695e+06
8.3,23655.3,770870,8.22905,1.89584,999385,361.907,447038,8677.39,269973,4.77677,726.481,283.159,1.55471,1.71973,56.0158,2.62012e+06
8.4,24427,770869,8.22798,1.95005,999376,364.393,447038,8835.84,279155,4.92041,750.552,293.113,1.58593,1.78137,56.4428,2.642e+06
8.5,25197.4,770868,8.22683,2.00463,999368,366.839,447038,8991.92,288962,5.07372,775.847,303.484,1.61823,1.84505,56.8452,2.66261e+06
8.6,25965.1,770867,8.22573,2.05949,999360,369.246,447038,9145.47,299432,5.23731,802.451,314.298,1.65169,1.91088,57.2238,2.68199e+06
8.7,26729,770866,8.22466,2.11456,999352,371.615,447038,9296.38,310609,5.41182,830.451,325.581,1.68637,1.97897,57.5789,2.70016e+06
8.8,27487.7,770865,8.22351,2.16974,999344,373.947,447038,9444.5,322544,5.59805,859.955,337.364,1.72237,2.04945,57.9111,2.71715e+06
8.9,28239.6,770865,8.22252,2.22492,999336,376.242,447038,9589.67,335305,5.79699,891.103,349.688,1.7598,2.12248,58.2215,2.73301e+06
9,28983.6,770864,8.22142,2.28002,999328,378.5,447038,9731.8,348943,6.00946,923.999,362.586,1.79877,2.1982,58.5107,2.74777e+06
9.1,29718.6,770863,8.22031,2.33496,999320,380.723,447038,9870.81,363517,6.23631,958.767,376.092,1.83935,2.27675,58.7794,2.76149e+06
9.2,30443.2,770862,8.21952,2.38962,999312,382.91,447038,10006.6,379096,6.47862,995.552,390.251,1.88169,2.35832,59.0289,2.77419e+06
9.3,31156.2,770861,8.2181,2.4439,999304,385.063,447038,10139.1,395772,6.7378,1034.54,405.116,1.92593,2.44313,59.2597,2.78596e+06
9.4,31856.5,770860,8.21737,2.49769,999296,387.181,447038,10268.2,413612,7.0148,1075.88,420.73,1.97219,2.53135,59.4733,2.79682e+06
9.5,32543,770859,8.21671,2.5509,999288,389.266,447038,10394,432693,7.31087,1119.72,437.142,2.0206,2.62319,59.6704,2.80683e+06
9.6,33214.8,770858,8.21383,2.60347,999279,391.317,447038,10516.3,453111,7.62754,1166.27,454.409,2.07132,2.71889,59.8505,2.81604e+06
9.7,33870.5,770857,8.21651,2.65515,999271,393.338,447038,10635.2,474985,7.96625,1215.79,472.607,2.12457,2.81877,60.0196,2.8245e+06
9.8,34509.8,770857,8.21366,2.70611,999263,395.327,447038,10750.7,498367,8.32804,1268.35,491.761,2.18041,2.92291,60.1714,2.83224e+06
9.9,35131.3,770856,8.21252,2.75594,999255,397.283,447038,10862.7,523412,8.71537,1324.29,511.968,2.2391,3.03174,60.3113,2.83933e+06
10,35734.2,770855,8.21172,2.80477,999247,399.207,447038,10971.2,550229,9.12992,1383.87,533.303,2.30085,3.14555,60.4399,2.84582e+06
10.1,36317.3,770854,8.21089,2.85239,999239,401.101,447038,11076.3,578949,9.57376,1447.37,555.852,2.3659,3.26471,60.5575,2.85176e+06
10.2,36880,770854,8.21008,2.89871,999231,402.965,447038,11178.1,609700,10.0489,1515.09,579.701,2.43448,3.38957,60.6652,2.85718e+06
10.3,37421.5,770853,8.2093,2.94366,999223,404.8,447038,11276.5,642614,10.5576,1587.32,604.939,2.50684,3.52053,60.7636,2.86212e+06
10.4,37940.8,770852,8.20855,2.98714,999215,406.605,447038,11371.7,677828,11.1019,1664.4,631.664,2.58323,3.65798,60.8534,2.86663e+06
10.5,38437.3,770852,8.20784,3.02905,999207,408.382,447038,11463.7,715497,11.6845,1746.7,659.985,2.66397,3.8024,60.9354,2.87074e+06
10.6,38910.1,770851,8.20716,3.0693,999199,410.131,447038,11552.7,755776,12.3079,1834.62,690.023,2.74938,3.9543,61.0103,2.87448e+06
10.7,39358.4,770850,8.20651,3.10781,999191,411.852,447038,11638.6,798819,12.9749,1928.57,721.902,2.8398,4.11422,61.0786,2.87788e+06
10.8,39781.4,770850,8.2059,3.14449,999183,413.546,447038,11721.5,844779,13.6882,2028.96,755.747,2.93557,4.28271,61.1409,2.88098e+06
10.9,40178.3,770849,8.20533,3.17925,999174,415.214,447038,11801.7,893807,14.4506,2136.28,791.7,3.03708,4.4604,61.1977,2.8838e+06
11,40548.3,770849,8.2048,3.21201,999166,416.855,447038,11879.2,946047,15.2649,2250.94,829.895,3.1447,4.64789,61.2495,2.88636e+06
11.1,40890.6,770848,8.2043,3.24268,999158,418.47,447038,11954.1,1.00163e+06,16.1338,2373.48,870.492,3.25889,4.84592,61.2967,2.88869e+06
11.2,41204.4,770848,8.20385,3.27119,999150,420.06,447038,12026.5,1.06068e+06,17.0601,2504.37,913.64,3.38004,5.05517,61.3397,2.8908e+06
11.3,41488.7,770848,8.20344,3.29745,999142,421.625,447038,12096.6,1.12329e+06,18.0464,2644.15,959.508,3.50866,5.27647,61.3788,2.89272e+06
11.4,41742.6,770847,8.20307,3.32138,999134,423.166,447038,12164.5,1.18954e+06,19.0951,2793.31,1008.26,3.64518,5.51059,61.4144,2.89445e+06
11.5,41965.3,770847,8.20275,3.34288,999126,424.682,447038,12230.3,1.25946e+06,20.2082,2952.39,1060.07,3.79012,5.75847,61.4466,2.89601e+06
11.6,42155.9,770847,8.20248,3.36187,999118,426.175,447038,12294.2,1.33307e+06,21.3877,3121.9,1115.1,3.94398,6.02095,61.4758,2.89741e+06
11.7,42313.2,770846,8.20225,3.37829,999110,427.645,447038,12356.4,1.41027e+06,22.6345,3302.34,1173.54,4.10728,6.29906,61.5021,2.89867e+06
11.8,42436.3,770846,8.20207,3.39203,999102,429.092,447038,12417,1.49099e+06,23.9496,3494.18,1235.56,4.28053,6.59375,61.5258,2.8998e+06
11.9,42524.1,770846,8.20194,3.403,999094,430.516,447038,12476.2,1.57497e+06,25.332,3697.8,1301.31,4.46427,6.9061,61.5469,2.90079e+06
12,42575.5,770846,8.20187,3.41112,999086,431.918,447038,12534.1,1.66197e+06,26.7813,3913.61,1370.95,4.65898,7.23714,61.5658,2.90166e+06
12.1,42589.5,770846,8.20185,3.41629,999078,433.299,447038,12590.9,1.75151e+06,28.2938,4141.82,1444.62,4.86516,7.588,61.5824,2.90242e+06
12.2,42564.9,770846,8.20188,3.41844,999070,434.658,447038,12646.8,1.84318e+06,29.867,4382.66,1522.45,5.08326,7.95975,61.5969,2.90307e+06
12.3,42500.5,770846,8.20197,3.41745,999062,435.996,447038,12701.9,1.93629e+06,31.494,4636.12,1604.52,5.31369,8.35353,61.6093,2.90361e+06
12.4,42395.3,770846,8.20212,3.41325,999054,437.314,447038,12756.5,2.0302e+06,33.1691,4902.2,1690.92,5.55683,8.77042,61.6198,2.90405e+06
12.5,42248.2,770847,8.20233,3.40576,999045,438.612,447038,12810.8,2.12385e+06,34.8814,5180.5,1781.66,5.8129,9.21151,61.6283,2.90439e+06
12.6,42058.1,770847,8.2026,3.39488,999037,439.89,447038,12864.8,2.21635e+06,36.6213,5470.7,1876.76,6.08217,9.67782,61.635,2.90463e+06
12.7,41824,770847,8.20294,3.38054,999029,441.148,447038,12918.9,2.30633e+06,38.3729,5771.9,1976.11,6.36462,10.1703,61.6399,2.90477e+06
12.8,41545,770848,8.20335,3.36266,999021,442.388,447038,12973.3,2.39262e+06,40.1223,6083.36,2079.64,6.66031,10.6899,61.643,2.90482e+06
12.9,41220.3,770848,8.20381,3.34118,999013,443.609,447038,13028.1,2.4736e+06,41.8483,6403.59,2187.13,6.96891,11.2372,61.6442,2.90477e+06
13,40849.1,770849,8.20432,3.31603,999005,444.811,447038,13083.5,2.54788e+06,43.5325,6731.33,2298.37,7.29019,11.813,61.6436,2.90462e+06
13.1,40431.1,770849,8.20494,3.28719,998997,445.995,447038,13139.8,2.6137e+06,45.1487,7064.45,2412.98,7.62344,12.4177,61.6413,2.90438e+06
13.2,39965.8,770850,8.20563,3.2546,998989,447.162,447038,13197.1,2.66955e+06,46.6745,7401.13,2530.63,7.96805,13.0515,61.637,2.90403e+06
13.3,39453.2,770850,8.20635,3.21827,998981,448.312,447038,13255.8,2.71375e+06,48.0809,7738.59,2650.78,8.32286,13.7144,61.6309,2.90358e+06
13.4,38893.3,770851,8.20712,3.17819,998973,449.444,447038,13315.9,2.74483e+06,49.3423,8074.46,2772.95,8.68686,14.4062,61.6228,2.90303e+06
13.5,38286.9,770852,8.20801,3.1344,998965,450.56,447038,13377.7,2.76143e+06,50.4291,8405.43,2896.46,9.05838,15.1264,61.6128,2.90237e+06
13.6,37634.2,770853,8.20899,3.08692,998957,451.66,447038,13441.4,2.76236e+06,51.3157,8728.69,3020.7,9.43601,15.8742,61.6008,2.90159e+06
13.7,36936.8,770854,8.20998,3.03585,998949,452.743,447038,13507.2,2.7469e+06,51.9763,9040.64,3144.88,9.81761,16.6483,61.5867,2.90071e+06
13.8,36195.7,770855,8.211,2.98126,998941,453.811,447038,13575.3,2.71435e+06,52.3877,9338.18,3268.31,10.2014,17.4475,61.5704,2.8997e+06
13.9,35413,770856,8.21213,2.92329,998933,454.863,447038,13645.9,2.66489e+06,52.5317,9617.79,3390.15,10.5848,18.2697,61.5519,2.89858e+06
14,34590.4,770857,8.21334,2.86208,998924,455.901,447038,13719.1,2.5985e+06,52.3915,9876.36,3509.66,10.9657,19.1132,61.5311,2.89733e+06
14.1,33730.8,770859,8.21457,2.79781,998916,456.923,447038,13795.2,2.51635e+06,51.962,10110.9,3626.06,11.3415,19.9753,61.5079,2.89594e+06
14.2,32836.3,770860,8.21585,2.73064,998908,457.931,447038,13874.4,2.41889e+06,51.2311,10318.3,3738.61,11.7098,20.8538,61.4822,2.89442e+06
14.3,31910.2,770861,8.21717,2.66083,998900,458.925,447038,13956.7,2.3081e+06,50.2062,10496.4,3846.65,12.068,21.7456,61.4539,2.89276e+06
14.4,30956.1,770862,8.21854,2.58858,998892,459.904,447038,14042.3,2.18611e+06,48.8994,10643.3,3949.57,12.4137,22.6474,61.4229,2.89095e+06
14.5,29977.7,770864,8.21994,2.5142,998884,460.87,447038,14131.4,2.05529e+06,47.3305,10757.7,4046.89,12.7445,23.5559,61.3892,2.889e+06
14.6,28978.8,770865,8.22137,2.43799,998876,461.822,447038,14224.1,1.91811e+06,45.5234,10838.7,4138.22,13.0584,24.4679,61.3526,2.88688e+06
14.7,27963.5,770867,8.22282,2.3602,998868,462.761,447038,14320.3,1.77717e+06,43.5088,10886.2,4223.28,13.3535,25.38,61.313,2.8846e+06
14.8,26935.8,770868,8.22428,2.28117,998860,463.687,447038,14420.4,1.63505e+06,41.3219,10900.7,4301.95,13.6283,26.2888,61.2704,2.88216e+06
14.9,25899.7,770870,8.22575,2.20119,998852,464.6,447038,14524.2,1.49419e+06,39.001,10883.1,4374.18,13.8816,27.1911,61.2245,2.87954e+06
15,24859.5,770871,8.22723,2.12056,998844,465.501,447038,14631.8,1.35679e+06,36.5862,10835,4440.09,14.1127,28.0838,61.1754,2.87675e+06
15.1,23819,770873,8.22871,2.0396,998836,466.389,447038,14743.4,1.22482e+06,34.1175,10758.3,4499.82,14.3209,28.9642,61.1229,2.87377e+06
15.2,22782.1,770874,8.23017,1.95859,998828,467.264,447038,14858.8,1.09992e+06,31.6343,10655.3,4553.65,14.5062,29.8294,61.0669,2.87061e+06
15.3,21752.7,770876,8.23161,1.87782,998820,468.128,447038,14978,983313,29.1735,10528.5,4601.92,14.6687,30.6771,61.0073,2.86725e+06
15.4,20734.1,770877,8.23303,1.79756,998811,468.979,447038,15101.2,875869,26.7685,10380.7,4645.01,14.8089,31.5052,60.944,2.8637e+06
15.5,19729.6,770878,8.23444,1.71806,998803,469.819,447038,15228.1,778108,24.4477,10214.6,4683.35,14.9277,32.3119,60.8769,2.85994e+06
15.6,18742.3,770880,8.23582,1.63958,998795,470.648,447038,15358.8,690176,22.2356,10033.1,4717.39,15.0259,33.0956,60.8059,2.85597e+06
15.7,17774.9,770881,8.23717,1.56232,998787,471.464,447038,15493.3,611915,20.151,9838.94,4747.56,15.1048,33.8551,60.731,2.85179e+06
15.8,16829.7,770883,8.23847,1.48647,998779,472.27,447038,15631.3,543021,18.2074,9634.62,4774.3,15.1657,34.5894,60.652,2.8474e+06
15.9,15909.1,770884,8.2397,1.41223,998771,473.064,447038,15772.9,482913,16.4132,9422.57,4798.04,15.2099,35.2978,60.5688,2.84279e+06
16,15014.8,770885,8.24087,1.33975,998763,473.847,447038,15917.9,430933,14.7718,9204.96,4819.16,15.2389,35.9798,60.4813,2.83795e+06
16.1,14148.4,770887,8.24199,1.26916,998755,474.619,447038,16066.3,386341,13.2838,8983.77,4838.02,15.2541,36.6352,60.3896,2.83288e+06
16.2,13311.3,770888,8.24311,1.20059,998747,475.381,447038,16217.8,348347,11.9457,8760.73,4854.95,15.2569,37.2639,60.2935,2.82758e+06
16.3,12504.4,770889,8.24422,1.13414,998739,476.131,447038,16372.5,316161,10.7514,8537.31,4870.24,15.2488,37.8659,60.193,2.82205e+06
16.4,11728.6,770890,8.24531,1.06988,998731,476.871,447038,16530.1,289021,9.69267,8314.78,4884.15,15.2309,38.4414,60.088,2.81628e+06
16.5,10984.4,770891,8.2463,1.00787,998722,477.601,447038,16690.5,266224,8.75978,8094.16,4896.88,15.2045,38.9909,59.9784,2.81026e+06
16.6,10272.1,770892,8.24712,0.948178,998714,478.32,447038,16853.6,247121,7.94247,7876.33,4908.64,15.1707,39.5147,59.8641,2.80401e+06
16.7,9591.84,770893,8.24776,0.890821,998706,479.029,447038,17019.2,231120,7.22992,7661.99,4919.57,15.1305,40.0132,59.7451,2.79751e+06
16.8,8943.67,770894,8.24828,0.835818,998698,479.728,447038,17187.2,217705,6.61123,7451.67,4929.82,15.0849,40.4871,59.6214,2.79077e+06
16.9,8327.3,770895,8.24887,0.783184,998690,480.416,447038,17357.4,206457,6.07594,7245.77,4939.5,15.0345,40.937,59.493,2.78378e+06
17,7742.34,770896,8.24964,0.732907,998682,481.094,447038,17529.7,197037,5.61428,7044.59,4948.7,14.9802,41.3634,59.3601,2.77655e+06
17.1,7188.32,770897,8.25064,0.684966,998674,481.763,447038,17703.9,189108,5.21714,6848.36,4957.49,14.9226,41.7671,59.2227,2.76907e+06
17.2,6664.62,770897,8.25178,0.639335,998666,482.422,447038,17879.8,182399,4.87606,6657.22,4965.94,14.8622,42.1486,59.0806,2.76134e+06
17.3,6170.55,770898,8.2528,0.59599,998658,483.072,447038,18057.4,176704,4.5835,6471.26,4974.11,14.7994,42.5087,58.9339,2.75337e+06
17.4,5705.28,770899,8.25329,0.554884,998650,483.713,447038,18236.4,171830,4.33269,6290.51,4982.04,14.7348,42.8479,58.7822,2.74516e+06
17.5,5267.95,770900,8.25284,0.515967,998641,484.344,447038,18416.8,167644,4.11765,6114.96,4989.76,14.6686,43.1671,58.6254,2.73671e+06
17.6,4857.62,770900,8.25121,0.479185,998633,484.964,447038,18598.2,164024,3.93316,5944.57,4997.29,14.6011,43.4668,58.4633,2.72802e+06
17.7,4473.3,770901,8.24848,0.444475,998625,485.573,447038,18780.5,160872,3.77455,5779.3,5004.68,14.5326,43.7477,58.296,2.7191e+06
17.8,4113.98,770901,8.24518,0.41177,998617,486.169,447038,18963.6,158117,3.63792,5619.06,5011.93,14.4634,44.0104,58.1239,2.70994e+06
17.9,3778.62,770902,8.2424,0.381001,998609,486.753,447038,19147.3,155691,3.52,5463.76,5019.07,14.3935,44.2556,57.9479,2.70057e+06
18,3466.13,770902,8.24163,0.352094,998601,487.326,447038,19331.5,153550,3.41806,5313.31,5026.1,14.3231,44.4838,57.7689,2.69097e+06
